# downloaded from https://web.williams.edu/Astronomy/research/PN/nebulae/search/index.php
# wavelength (angstrom), flux
3547.3352050781,3.4552969999999997E-14
3550.2151367874399,4.1566280000000001E-14
3553.0950684967702,7.5931899999999997E-14
3555.9750002061,3.2066430000000001E-14
3558.8549319154299,6.4789100000000005E-14
3561.7348636247698,4.2543199999999999E-14
3564.6147953341001,2.7446549999999999E-14
3567.49472704343,2.5094430000000001E-14
3570.3746587527598,2.1412520000000001E-14
3573.2545904621002,1.9931800000000001E-14
3576.13452217143,2.4626349999999999E-14
3579.0144538807599,2.280828E-14
3581.8943855900902,1.78135E-14
3584.7743172994301,2.0139890000000001E-14
3587.65424900876,2.1885590000000001E-14
3590.5341807180898,2.1882820000000001E-14
3593.4141124274202,2.0545250000000001E-14
3596.29404413676,2.0510150000000001E-14
3599.1739758460899,2.044932E-14
3602.0539075554202,2.0281179999999999E-14
3604.9338392647501,2.271159E-14
3607.8137709740899,1.975754E-14
3610.6937026834198,1.820705E-14
3613.5736343927501,2.357882E-14
3616.45356610208,2.6224249999999999E-14
3619.3334978114199,2.5288600000000002E-14
3622.2134295207502,2.2425780000000001E-14
3625.0933612300801,2.237885E-14
3627.9732929394099,2.2960910000000001E-14
3630.8532246487498,2.1686079999999999E-14
3633.7331563580801,2.2947170000000001E-14
3636.61308806741,2.746449E-14
3639.4930197767399,2.421942E-14
3642.3729514860802,2.475583E-14
3645.25288319541,2.8762789999999998E-14
3648.1328149047399,2.5616310000000001E-14
3651.0127466140698,2.1599610000000002E-14
3653.8926783234101,2.0556050000000001E-14
3656.77261003274,1.939566E-14
3659.6525417420698,2.2869510000000001E-14
3662.5324734514002,2.1891139999999999E-14
3665.41240516074,1.880485E-14
3668.2923368700699,2.2137329999999999E-14
3671.1722685794002,2.035517E-14
3674.0522002887301,1.920021E-14
3676.93213199807,2.1744089999999999E-14
3679.8120637073998,2.073123E-14
3682.6919954167302,1.456191E-14
3685.57192712606,1.8268440000000001E-14
3688.4518588353999,1.6605430000000001E-14
3691.3317905447302,1.8921789999999999E-14
3694.2117222540601,1.9741789999999999E-14
3697.0916539633899,2.0342169999999999E-14
3699.9715856727298,2.41007E-14
3702.8515173820601,2.4298720000000001E-14
3705.73144909139,2.4405219999999999E-14
3708.6113808007199,2.3164390000000001E-14
3711.4913125100602,2.573686E-14
3714.3712442193901,3.6019939999999999E-14
3717.2511759287199,5.88891E-14
3720.1311076380498,1.034346E-13
3723.0110393473901,1.771443E-13
3725.89097105672,2.5337420000000001E-13
3728.7709027660499,2.9578340000000002E-13
3731.6508344753802,2.8486560000000001E-13
3734.5307661847201,2.256447E-13
3737.4106978940499,1.409428E-13
3740.2906296033798,6.9236109999999997E-14
3743.1705613127101,3.477249E-14
3746.05049302205,2.4017670000000001E-14
3748.9304247313798,2.3130519999999999E-14
3751.8103564407102,2.579235E-14
3754.69028815004,2.7462120000000001E-14
3757.5702198593799,2.9638289999999999E-14
3760.4501515687102,3.3418629999999998E-14
3763.3300832780401,3.1220489999999999E-14
3766.21001498737,2.4867850000000001E-14
3769.0899466967098,2.4226329999999999E-14
3771.9698784060402,2.643258E-14
3774.84981011537,2.32715E-14
3777.7297418246999,1.743146E-14
3780.6096735340402,1.5210360000000001E-14
3783.4896052433701,1.333134E-14
3786.3695369526999,1.279756E-14
3789.2494686620298,1.3694840000000001E-14
3792.1294003713701,1.8082820000000001E-14
3795.0093320807,2.2649529999999999E-14
3797.8892637900299,2.7074779999999999E-14
3800.7691954993602,2.374884E-14
3803.6491272087001,2.0748079999999999E-14
3806.5290589180299,1.6853580000000001E-14
3809.4089906273598,1.251544E-14
3812.2889223366901,1.399206E-14
3815.16885404603,1.4557980000000001E-14
3818.0487857553599,1.3435960000000001E-14
3820.9287174646902,1.5084660000000001E-14
3823.80864917402,1.4659930000000001E-14
3826.6885808833599,1.476392E-14
3829.5685125926898,2.1336449999999999E-14
3832.4484443020201,2.891715E-14
3835.32837601135,3.3559649999999998E-14
3838.2083077206898,3.2258149999999998E-14
3841.0882394300202,2.7786280000000002E-14
3843.96817113935,2.2448579999999998E-14
3846.8481028486799,1.5641220000000001E-14
3849.7280345580202,1.5527979999999999E-14
3852.6079662673501,1.948026E-14
3855.48789797668,3.5340610000000001E-14
3858.3678296860098,7.5782639999999998E-14
3861.2477613953502,1.6572680000000001E-13
3864.12769310468,3.1149379999999999E-13
3867.0076248140099,4.690778E-13
3869.8875565233402,5.3226600000000003E-13
3872.7674882326801,4.6977899999999997E-13
3875.6474199420099,3.3531729999999999E-13
3878.5273516513398,1.881721E-13
3881.4072833606701,9.4424260000000006E-14
3884.28721507001,7.343874E-14
3887.1671467793399,8.4970179999999996E-14
3890.0470784886702,8.9038569999999997E-14
3892.9270101980001,7.6364260000000005E-14
3895.8069419073399,5.532167E-14
3898.6868736166698,3.2882959999999998E-14
3901.5668053260001,1.8281480000000001E-14
3904.44673703533,1.2771959999999999E-14
3907.3266687446699,1.1203180000000001E-14
3910.2066004540002,1.0197909999999999E-14
3913.08653216333,1.3284700000000001E-14
3915.9664638726599,1.227863E-14
3918.8463955819998,1.162284E-14
3921.7263272913301,1.1344649999999999E-14
3924.60625900066,1.0832860000000001E-14
3927.4861907099898,1.143306E-14
3930.3661224193302,1.1294569999999999E-14
3933.24605412866,1.0484979999999999E-14
3936.1259858379899,8.7785530000000001E-15
3939.0059175473202,9.7283670000000005E-15
3941.8858492566601,9.2155089999999999E-15
3944.76578096599,9.2139409999999998E-15
3947.6457126753198,9.8776650000000003E-15
